Config Row,Avg Best Fitness,Avg Generations
1,0.8189473660368669,73.6
2,0.8467686599179316,46.3
3,0.8185312039601176,31.3
4,0.8406242329823342,36.9
5,0.8326682932753311,37.4
6,0.8577478664172323,55.6
7,0.8556426032593377,56.1
8,0.8368665854554427,25.4
9,0.856107722144378,74.6
10,0.8455814003944397,50.5
